REPORT_DATE,TOTAL_DOD,HOLDING_PEDIATRIC_DOD,GAP_ELIG_COMBO_DIAG_ONLY_DOD,GAP_ELIG_COMBO_INS_ONLY_DOD,GAP_ELIG_COMBO_PROV_ONLY_DOD,GAP_ELIG_COMBO_DIAG_AND_INS_DOD,GAP_ELIG_COMBO_DIAG_AND_PROV_DOD,GAP_ELIG_COMBO_INS_AND_PROV_DOD,GAP_ELIG_COMBO_DIAG_INS_PROV_DOD,GAP_ELIG_COMBO_NO_PROGRAM_DOD,GAP_MKT_CIO_ERROR_DOD,GAP_MKT_RESTRICTED_DOD,GAP_MKT_PROVIDER_NF_DOD,GAP_MKT_HIGH_COPAY_DOD,GAP_MKT_AWAITING_BI_DOD,GAP_MKT_NEW_PATIENTS_DOD,GAP_MKT_NOT_INTERESTED_DOD,GAP_MKT_OTHER_DOD,AWAITING_BI_DOD,BI_COMPLETE_DOD,AWAITING_NEXT_CAMPAIGN_DOD,IN_CAMPAIGN_DOD,AWAITING_DEVICE_SHIPMENT_DOD,AWAITING_DEVICE_DELIVERY_DOD,AWAITING_ACTIVATION_DOD,DAILY_CONSENTS,DAILY_DISENROLLMENTS,DAILY_ACTIVATIONS,REMOVALS_NOT_INTERESTED,REMOVALS_NON_COMPLIANCE,REMOVALS_HIGH_COPAY,REMOVALS_GOALS_MET,REMOVALS_DECEASED,REMOVALS_OTHER,REMOVALS_THROUGH_APP,ACTIVE_COUNT,ACTIVE_COUNT_DOD
12/16/25,-38,0,0,-2,0,0,0,0,0,0,0,348,0,0,-75,0,-35,0,-71,-4,-100,-178,1,-3,7,20,6,14,10,6,1,4,1,11,0,8212,0
12/17/25,-22,-1,0,0,0,0,0,0,0,0,0,-5,0,0,-11,0,77,0,-13,2,-7,-86,5,13,-8,22,17,12,6,7,1,2,1,3,0,8212,0
12/18/25,-16,0,0,1,0,0,0,0,0,0,0,102,0,0,-13,0,49,0,-11,-2,-212,52,-2,13,-6,22,4,11,5,3,0,2,2,4,0,8212,0
12/19/25,54,0,-5,-4498,142,-5,1,-145,-1,0,0,1927,0,0,359,0,114,0,356,0,706,1458,5,1,9,41,9,17,4,5,0,2,0,1,0,8212,0
12/20/25,-14,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,12,0,-1,0,-54,34,-5,-4,2,1,4417,7,0,0,0,0,0,0,0,8212,0
12/21/25,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,-28,33,0,0,-8,6,38,7,0,0,0,0,0,0,0,8212,0
12/22/25,168,1,1279,-797,71,-1137,101,-76,-95,0,0,681,0,0,112,0,44,0,112,0,37,-62,35,-31,1,38,57,14,3,2,0,1,1,2,0,8212,0
12/23/25,156,0,-8,91,-2,50,10,8,6,0,0,-1,0,0,4,0,-23,0,3,0,9,4,-53,57,-5,14,50,8,0,3,4,0,0,5,0,8212,0
12/24/25,-8,0,-2560,1112,-58,2560,-194,58,194,0,0,-405,0,0,-96,0,-218,0,-96,0,-435,43,2,-8,6,8,48,6,1,5,0,0,0,3,0,8212,0
12/25/25,-12,0,0,0,0,0,0,0,0,0,0,2,0,0,-16,0,-101,0,-16,0,-81,192,0,-1,-10,3,38,6,0,0,0,0,0,0,0,8212,0
12/26/25,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,0,0,0,-144,159,1,-67,59,4,40,9,0,0,0,0,0,0,0,8212,0
12/27/25,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,52,-51,-1,-5,-11,2,38,14,0,0,0,0,0,0,0,8212,0
12/28/25,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,2,77,0,0,-5,1,38,7,0,0,0,0,0,0,0,8212,0
12/29/25,467,6,56,133,-25,27,-32,-24,-41,0,0,351,0,0,-15,0,-70,0,-15,0,55,56,7,2,-23,17,62,27,2,3,1,1,1,7,0,8212,0
12/30/25,34,0,-25,181,8,39,-6,2,1,0,0,-29,0,0,-32,0,-16,0,-32,1,-87,10,12,6,-28,23,26,17,3,7,0,0,0,5,0,8212,0
12/31/25,-21,0,1,0,1,0,0,-1,0,0,0,5,0,0,-87,0,14,0,-86,-1,129,-84,-18,21,-4,16,36,12,3,0,1,0,0,7,0,8212,0
1/1/26,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-59,0,-1,0,-9,62,0,0,-19,0,0,2,0,0,0,0,0,0,0,8306,94
1/2/26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,11,-4,2,-20,18,4,0,5,0,0,0,0,0,0,0,8306,0
